BİRİM ADI,İNTERNET ADRESİ,E-POSTA,TELEFON,FAKS,ADRES,REKTÖR,Column1
ABDULLAH GÜL ÜNİVERSİTESİ,http://www.agu.edu.tr,ozelkalem@agu.edu.tr,03522248800,0352 338 88 28,Barbaros Mahallesi Sümer Kampüsü Kocasinan-KAYSERİ,CENGİZ,YILMAZ
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,http://www.acibadem.edu.tr,info@acibadem.edu.tr,02165004444,02165775048,İçerenköy Mah. Kayışdağı Cad. No:32 İçerenköy 34752 Ataşehir İstanbul,AHMET,ŞAHİN
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,http://www.atu.edu.tr,rektorluk@atu.edu.tr,03224550001,03224550002,"Balcalı Mahallesi, Çatalan Caddesi No:201/1 01250 Sarıçam/ADANA",MEHMET,TÜMAY
ADIYAMAN ÜNİVERSİTESİ,http://www.adiyaman.edu.tr/,bidb@adiyaman.edu.tr,04162233840,0416 223 38 43,"Adıyaman Üniversitesi, Altınşehir Mh. 3005 Sokak No:13 02040   ADIYAMAN",MEHMET,KELLEŞ
AFYON KOCATEPE ÜNİVERSİTESİ,http://www.aku.edu.tr,ozkalem@aku.edu.tr,02724440303,0272 2281401,Afyon Kocatepe Üniversitesi Rektörlüğü ANS Kampusü Gazlıgöl Yolu Üzeri,MEHMET,KARAKAŞ
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,www.afsu.edu.tr,afsu@afsu.edu.tr,02722463335,02722281429,Zafer Sağlık Külliyesi Dörtyol Mah. 2078.Sok No:3,NURULLAH,OKUMUŞ
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,http://www.agri.edu.tr,gensek@agri.edu.tr,04722162008,04722151182,Erzurum yolu  4 km 04100 Merkez / AĞRI,ABDULHALİK,KARABULUT
AKDENİZ ÜNİVERSİTESİ,http://www.akdeniz.edu.tr,info@akdeniz.edu.tr,02422274400,02422274958,Akdeniz Üniversitesi Kampüs Antalya,ÖZLENEN,ÖZKAN
AKSARAY ÜNİVERSİTESİ,www.aksaray.edu.tr,gensek@aksaray.edu.tr,03822883026-,03822883026,Bahçesaray Mah.68100 AKSARAY,ALPAY,ARIBAŞ
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,http://www.alanya.edu.tr/,alku@alanya.edu.tr,02425106060,02425106019,Kestel Mahallesi Üniversite Caddesi No:80 Alanya/ANTALYA,KENAN AHMET,TÜRKDOĞAN
ALANYA ÜNİVERSİTESİ,"http://www.alanyauniversity.edu
.tr",info@alanyauniversity.edu.tr,02425136969,0242 513 69 66,"Cikcilli Beldesi, Saraybeleni Mahallesi, Saraybeleni Cad. No:7, PK 80 07400, Alanya, ANTALYA",MESUT,GÜNER
ALTINBAŞ ÜNİVERSİTESİ,http://www.altinbas.edu.tr/tr,ik@altinbas.edu.tr,02126040100,02124459255,"Mahmutbey, Dİlmenler Cd. No. 26 Bağcılar, İstanbul",ÇAĞRI,ERHAN
AMASYA ÜNİVERSİTESİ,http://www.amasya.edu.tr,webadmin@amasya.edu.tr,03582115005,0 358 218 01 04,Akbilek Mah. Hakimiyet cad. Milli Hakimiyet Yerleşkesi No:4/3 PK: 05100 Merkez/AMASYA,AHMET HAKKI,TURABİ
ANADOLU ÜNİVERSİTESİ,http://www.anadolu.edu.tr/,gensek@anadolu.edu.tr,02223350581,02223353616,"Anadolu Üniversitesi Yunus Emre Kampusü, 26470 Tepebaşı/ESKİŞEHİR",FUAT,ERDAL
ANKA TEKNOLOJİ ÜNİVERSİTESİ,-,-,0,-,-,-,-
