q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,labels,quiz_num,business_and_communication_proba,math_sciences_and_engineering_proba,creative_arts_proba,social_sciences_proba,public_service_law_and_policy_proba
1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,"Public Service, Law, and Policy",1,0.30851063829787234,0.2765957446808511,0.031914893617021274,0.22340425531914893,0.1595744680851064
0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,Business and Communication,2,0.2535211267605634,0.2535211267605634,0.1267605633802817,0.2676056338028169,0.09859154929577464
1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Business and Communication,3,0.2826086956521739,0.2826086956521739,0.043478260869565216,0.13043478260869565,0.2608695652173913
1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,Business and Communication,4,0.1935483870967742,0.3763440860215054,0.021505376344086023,0.1935483870967742,0.21505376344086022
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,Creative Arts,5,0.21839080459770116,0.41379310344827586,0.09195402298850575,0.12643678160919541,0.14942528735632185
0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,"Math, Sciences, and Engineering",6,0.26153846153846155,0.3384615384615385,0.09230769230769231,0.06153846153846154,0.24615384615384617
0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,Social Sciences,7,0.14754098360655737,0.4262295081967213,0.08196721311475409,0.21311475409836064,0.13114754098360656
0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,"Public Service, Law, and Policy",8,0.24175824175824176,0.38461538461538464,0.06593406593406594,0.14285714285714285,0.16483516483516483
0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,"Public Service, Law, and Policy",9,0.13793103448275862,0.3448275862068966,0.08620689655172414,0.2413793103448276,0.1896551724137931
1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,"Math, Sciences, and Engineering",10,0.16666666666666666,0.38095238095238093,0.03571428571428571,0.13095238095238096,0.2857142857142857
1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,"Math, Sciences, and Engineering",11,0.2926829268292683,0.21951219512195122,0.04878048780487805,0.25609756097560976,0.18292682926829268
0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,Creative Arts,12,0.18055555555555555,0.4027777777777778,0.041666666666666664,0.16666666666666666,0.20833333333333334
1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,Social Sciences,13,0.1588785046728972,0.411214953271028,0.06542056074766354,0.14953271028037382,0.21495327102803738
0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,Business and Communication,14,0.18309859154929578,0.2676056338028169,0.08450704225352113,0.2535211267605634,0.2112676056338028
1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,"Public Service, Law, and Policy",15,0.2898550724637681,0.42028985507246375,0.043478260869565216,0.028985507246376812,0.21739130434782608
1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,Business and Communication,16,0.2696629213483146,0.24719101123595505,0.0449438202247191,0.2247191011235955,0.21348314606741572
0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,"Math, Sciences, and Engineering",17,0.11702127659574468,0.44680851063829785,0.02127659574468085,0.1702127659574468,0.24468085106382978
0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,Business and Communication,18,0.2608695652173913,0.2608695652173913,0.043478260869565216,0.2028985507246377,0.2318840579710145
0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,Business and Communication,19,0.14444444444444443,0.4666666666666667,0.06666666666666667,0.08888888888888889,0.23333333333333334
1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,Business and Communication,20,0.3116883116883117,0.24675324675324675,0.012987012987012988,0.24675324675324675,0.18181818181818182
0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,"Math, Sciences, and Engineering",21,0.11956521739130435,0.45652173913043476,0.03260869565217391,0.17391304347826086,0.21739130434782608
1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,"Public Service, Law, and Policy",22,0.23300970873786409,0.33980582524271846,0.06796116504854369,0.20388349514563106,0.1553398058252427
0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,Business and Communication,23,0.25862068965517243,0.20689655172413793,0.13793103448275862,0.1896551724137931,0.20689655172413793
1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,Business and Communication,24,0.18518518518518517,0.30864197530864196,0.06172839506172839,0.19753086419753085,0.24691358024691357
0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,"Math, Sciences, and Engineering",25,0.18518518518518517,0.4722222222222222,0.037037037037037035,0.12037037037037036,0.18518518518518517
0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,"Math, Sciences, and Engineering",26,0.23711340206185566,0.36082474226804123,0.05154639175257732,0.17525773195876287,0.17525773195876287
1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,Business and Communication,27,0.24691358024691357,0.32098765432098764,0.07407407407407407,0.20987654320987653,0.14814814814814814
0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,Social Sciences,28,0.2222222222222222,0.48148148148148145,0.037037037037037035,0.1111111111111111,0.14814814814814814
1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,"Public Service, Law, and Policy",29,0.2,0.4,0.05,0.125,0.225
1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,"Math, Sciences, and Engineering",30,0.2619047619047619,0.39285714285714285,0.07142857142857142,0.08333333333333333,0.19047619047619047
1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,Business and Communication,31,0.20967741935483872,0.3225806451612903,0.03225806451612903,0.1774193548387097,0.25806451612903225
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,"Math, Sciences, and Engineering",32,0.20754716981132076,0.22641509433962265,0.11320754716981132,0.24528301886792453,0.20754716981132076
1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,Creative Arts,33,0.17777777777777778,0.3333333333333333,0.06666666666666667,0.18888888888888888,0.23333333333333334
0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,"Public Service, Law, and Policy",34,0.13043478260869565,0.5072463768115942,0.057971014492753624,0.07246376811594203,0.2318840579710145
0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,"Math, Sciences, and Engineering",35,0.18840579710144928,0.5797101449275363,0.028985507246376812,0.057971014492753624,0.14492753623188406
0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,Business and Communication,36,0.26865671641791045,0.417910447761194,0.1044776119402985,0.029850746268656716,0.1791044776119403
0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,"Math, Sciences, and Engineering",37,0.07692307692307693,0.4461538461538462,0.03076923076923077,0.18461538461538463,0.26153846153846155
0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,Business and Communication,38,0.2465753424657534,0.2191780821917808,0.1095890410958904,0.2191780821917808,0.2054794520547945
0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,Business and Communication,39,0.2413793103448276,0.20689655172413793,0.06896551724137931,0.22413793103448276,0.25862068965517243
1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,Business and Communication,40,0.2702702702702703,0.2702702702702703,0.0945945945945946,0.1891891891891892,0.17567567567567569
1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,"Math, Sciences, and Engineering",41,0.1791044776119403,0.40298507462686567,0.04477611940298507,0.16417910447761194,0.208955223880597
0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,"Math, Sciences, and Engineering",42,0.3283582089552239,0.29850746268656714,0.04477611940298507,0.2537313432835821,0.07462686567164178
1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,"Math, Sciences, and Engineering",43,0.3013698630136986,0.3561643835616438,0.0684931506849315,0.0821917808219178,0.1917808219178082
0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,Social Sciences,44,0.2676056338028169,0.4788732394366197,0.028169014084507043,0.08450704225352113,0.14084507042253522
1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,Social Sciences,45,0.24489795918367346,0.2755102040816326,0.07142857142857142,0.22448979591836735,0.1836734693877551
1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,"Math, Sciences, and Engineering",46,0.2037037037037037,0.3333333333333333,0.1111111111111111,0.14814814814814814,0.2037037037037037
1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,Social Sciences,47,0.14444444444444443,0.37777777777777777,0.1,0.18888888888888888,0.18888888888888888
1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,Business and Communication,48,0.22857142857142856,0.24285714285714285,0.07142857142857142,0.21428571428571427,0.24285714285714285
1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,Business and Communication,49,0.18333333333333332,0.43333333333333335,0.1,0.1,0.18333333333333332
1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,Social Sciences,50,0.25,0.23214285714285715,0.125,0.14285714285714285,0.25
0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,Creative Arts,51,0.15789473684210525,0.47368421052631576,0.06578947368421052,0.13157894736842105,0.17105263157894737
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Business and Communication,52,0.27450980392156865,0.21568627450980393,0.058823529411764705,0.21568627450980393,0.23529411764705882
0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,"Math, Sciences, and Engineering",53,0.2916666666666667,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.09722222222222222
1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,"Math, Sciences, and Engineering",54,0.2222222222222222,0.37777777777777777,0.03333333333333333,0.14444444444444443,0.2222222222222222
0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,"Math, Sciences, and Engineering",55,0.07142857142857142,0.5571428571428572,0.02857142857142857,0.17142857142857143,0.17142857142857143
1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,Creative Arts,56,0.32142857142857145,0.21428571428571427,0.10714285714285714,0.10714285714285714,0.25
0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,"Math, Sciences, and Engineering",57,0.09876543209876543,0.5061728395061729,0.024691358024691357,0.16049382716049382,0.20987654320987653
0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,Social Sciences,58,0.16842105263157894,0.5157894736842106,0.021052631578947368,0.10526315789473684,0.18947368421052632
0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,Business and Communication,59,0.2037037037037037,0.3888888888888889,0.14814814814814814,0.07407407407407407,0.18518518518518517
1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,"Math, Sciences, and Engineering",60,0.2375,0.5,0.0125,0.1,0.15
0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,"Math, Sciences, and Engineering",61,0.12162162162162163,0.44594594594594594,0.08108108108108109,0.1891891891891892,0.16216216216216217
0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,Business and Communication,62,0.14285714285714285,0.5194805194805194,0.09090909090909091,0.05194805194805195,0.19480519480519481
1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,"Public Service, Law, and Policy",63,0.16831683168316833,0.3465346534653465,0.06930693069306931,0.1782178217821782,0.2376237623762376
1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,Social Sciences,64,0.2777777777777778,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.2777777777777778
0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,Business and Communication,65,0.18055555555555555,0.5,0.05555555555555555,0.06944444444444445,0.19444444444444445
0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,"Math, Sciences, and Engineering",66,0.09090909090909091,0.5,0.06818181818181818,0.07954545454545454,0.26136363636363635
0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,"Math, Sciences, and Engineering",67,0.16666666666666666,0.3939393939393939,0.10606060606060606,0.16666666666666666,0.16666666666666666
1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,Business and Communication,68,0.25806451612903225,0.3763440860215054,0.03225806451612903,0.10752688172043011,0.22580645161290322
1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,Business and Communication,69,0.15714285714285714,0.4714285714285714,0.12857142857142856,0.11428571428571428,0.12857142857142856
0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,"Public Service, Law, and Policy",70,0.15384615384615385,0.35384615384615387,0.046153846153846156,0.2,0.24615384615384617
0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,"Math, Sciences, and Engineering",71,0.2857142857142857,0.2714285714285714,0.1,0.15714285714285714,0.18571428571428572
0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,"Math, Sciences, and Engineering",72,0.2465753424657534,0.2054794520547945,0.0821917808219178,0.2191780821917808,0.2465753424657534
1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,"Public Service, Law, and Policy",73,0.19736842105263158,0.47368421052631576,0.07894736842105263,0.07894736842105263,0.17105263157894737
0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,Social Sciences,74,0.13131313131313133,0.36363636363636365,0.09090909090909091,0.2222222222222222,0.1919191919191919
0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,Business and Communication,75,0.18309859154929578,0.3380281690140845,0.11267605633802817,0.2112676056338028,0.15492957746478872
0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,"Public Service, Law, and Policy",76,0.20930232558139536,0.4069767441860465,0.09302325581395349,0.11627906976744186,0.1744186046511628
0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,"Math, Sciences, and Engineering",77,0.2222222222222222,0.3611111111111111,0.05555555555555555,0.20833333333333334,0.1527777777777778
1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,Business and Communication,78,0.2619047619047619,0.2857142857142857,0.07142857142857142,0.23809523809523808,0.14285714285714285
0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,Creative Arts,79,0.2708333333333333,0.375,0.0625,0.08333333333333333,0.20833333333333334
0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,"Math, Sciences, and Engineering",80,0.13414634146341464,0.43902439024390244,0.04878048780487805,0.14634146341463414,0.23170731707317074
1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,"Math, Sciences, and Engineering",81,0.2923076923076923,0.3076923076923077,0.07692307692307693,0.2,0.12307692307692308
1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,Social Sciences,82,0.20253164556962025,0.4430379746835443,0.0379746835443038,0.16455696202531644,0.1518987341772152
1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,"Public Service, Law, and Policy",83,0.17721518987341772,0.34177215189873417,0.0379746835443038,0.25316455696202533,0.189873417721519
1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,"Public Service, Law, and Policy",84,0.15476190476190477,0.40476190476190477,0.023809523809523808,0.16666666666666666,0.25
1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,"Public Service, Law, and Policy",85,0.3050847457627119,0.3050847457627119,0.06779661016949153,0.1016949152542373,0.22033898305084745
0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,"Math, Sciences, and Engineering",86,0.14130434782608695,0.5108695652173914,0.010869565217391304,0.15217391304347827,0.18478260869565216
1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,Business and Communication,87,0.24615384615384617,0.23076923076923078,0.03076923076923077,0.2923076923076923,0.2
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Social Sciences,88,0.38636363636363635,0.29545454545454547,0.022727272727272728,0.09090909090909091,0.20454545454545456
1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,Business and Communication,89,0.3146067415730337,0.29213483146067415,0.02247191011235955,0.23595505617977527,0.1348314606741573
1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,Business and Communication,90,0.20634920634920634,0.4126984126984127,0.12698412698412698,0.09523809523809523,0.15873015873015872
1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,"Public Service, Law, and Policy",91,0.2727272727272727,0.21212121212121213,0.10606060606060606,0.13636363636363635,0.2727272727272727
1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,"Math, Sciences, and Engineering",92,0.2,0.44545454545454544,0.06363636363636363,0.06363636363636363,0.22727272727272727
0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,Creative Arts,93,0.061224489795918366,0.3673469387755102,0.14285714285714285,0.14285714285714285,0.2857142857142857
0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,Social Sciences,94,0.2857142857142857,0.18571428571428572,0.1,0.3,0.12857142857142856
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,"Math, Sciences, and Engineering",95,0.22321428571428573,0.38392857142857145,0.07142857142857142,0.16071428571428573,0.16071428571428573
1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,"Public Service, Law, and Policy",96,0.2318840579710145,0.2753623188405797,0.043478260869565216,0.2463768115942029,0.2028985507246377
1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,"Math, Sciences, and Engineering",97,0.1780821917808219,0.3698630136986301,0.0684931506849315,0.1780821917808219,0.2054794520547945
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,Creative Arts,98,0.20689655172413793,0.06896551724137931,0.20689655172413793,0.13793103448275862,0.3793103448275862
0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,"Public Service, Law, and Policy",99,0.1506849315068493,0.4794520547945205,0.0958904109589041,0.1095890410958904,0.1643835616438356
0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,"Math, Sciences, and Engineering",100,0.2112676056338028,0.36619718309859156,0.08450704225352113,0.18309859154929578,0.15492957746478872
1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,Social Sciences,101,0.20833333333333334,0.2638888888888889,0.1111111111111111,0.2222222222222222,0.19444444444444445
0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,"Public Service, Law, and Policy",102,0.16470588235294117,0.5764705882352941,0.011764705882352941,0.011764705882352941,0.23529411764705882
1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,"Public Service, Law, and Policy",103,0.19540229885057472,0.41379310344827586,0.05747126436781609,0.05747126436781609,0.27586206896551724
0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,"Public Service, Law, and Policy",104,0.2903225806451613,0.43548387096774194,0.016129032258064516,0.03225806451612903,0.22580645161290322
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,Social Sciences,105,0.2962962962962963,0.24074074074074073,0.14814814814814814,0.05555555555555555,0.25925925925925924
0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,"Math, Sciences, and Engineering",106,0.23655913978494625,0.3978494623655914,0.08602150537634409,0.07526881720430108,0.20430107526881722
1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,"Math, Sciences, and Engineering",107,0.19540229885057472,0.3793103448275862,0.034482758620689655,0.22988505747126436,0.16091954022988506
1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,Business and Communication,108,0.26582278481012656,0.3670886075949367,0.0759493670886076,0.11392405063291139,0.17721518987341772
1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,Business and Communication,109,0.18333333333333332,0.3,0.11666666666666667,0.11666666666666667,0.2833333333333333
1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,"Math, Sciences, and Engineering",110,0.21428571428571427,0.4166666666666667,0.047619047619047616,0.16666666666666666,0.15476190476190477
1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,"Public Service, Law, and Policy",111,0.26582278481012656,0.3291139240506329,0.0759493670886076,0.08860759493670886,0.24050632911392406
0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,"Math, Sciences, and Engineering",112,0.1643835616438356,0.4383561643835616,0.0410958904109589,0.1232876712328767,0.2328767123287671
0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,Social Sciences,113,0.265625,0.171875,0.046875,0.3125,0.203125
0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,"Math, Sciences, and Engineering",114,0.19047619047619047,0.38095238095238093,0.047619047619047616,0.11904761904761904,0.2619047619047619
0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,Social Sciences,115,0.20253164556962025,0.34177215189873417,0.0759493670886076,0.24050632911392406,0.13924050632911392
1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,Creative Arts,116,0.30985915492957744,0.15492957746478872,0.1267605633802817,0.2535211267605634,0.15492957746478872
1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,Creative Arts,117,0.2972972972972973,0.2702702702702703,0.13513513513513514,0.06756756756756757,0.22972972972972974
0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,Business and Communication,118,0.30303030303030304,0.42424242424242425,0.06060606060606061,0.12121212121212122,0.09090909090909091
1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,Social Sciences,119,0.14942528735632185,0.40229885057471265,0.022988505747126436,0.20689655172413793,0.21839080459770116
1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,Business and Communication,120,0.18421052631578946,0.34210526315789475,0.07894736842105263,0.21052631578947367,0.18421052631578946
0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,Business and Communication,121,0.26666666666666666,0.18333333333333332,0.11666666666666667,0.16666666666666666,0.26666666666666666
1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,Social Sciences,122,0.1518987341772152,0.3291139240506329,0.06329113924050633,0.26582278481012656,0.189873417721519
1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,"Public Service, Law, and Policy",123,0.24468085106382978,0.3404255319148936,0.031914893617021274,0.2127659574468085,0.1702127659574468
0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,Creative Arts,124,0.18055555555555555,0.4166666666666667,0.09722222222222222,0.06944444444444445,0.2361111111111111
1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,Business and Communication,125,0.14634146341463414,0.4878048780487805,0.07317073170731707,0.0975609756097561,0.1951219512195122
1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,"Math, Sciences, and Engineering",126,0.2564102564102564,0.23076923076923078,0.038461538461538464,0.2692307692307692,0.20512820512820512
0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,Social Sciences,127,0.1935483870967742,0.2903225806451613,0.06451612903225806,0.24193548387096775,0.20967741935483872
1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,Business and Communication,128,0.24285714285714285,0.2714285714285714,0.02857142857142857,0.3,0.15714285714285714
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Business and Communication,129,0.2765957446808511,0.23404255319148937,0.0425531914893617,0.19148936170212766,0.2553191489361702
