q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,labels,quiz_num,business_and_communication_proba,social_sciences_proba,public_service_law_and_policy_proba,math_sciences_and_engineering_proba
0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,"Math, Sciences, and Engineering",1,0.12121212121212122,0.3939393939393939,0.18181818181818182,0.30303030303030304
1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,"Math, Sciences, and Engineering",2,0.27906976744186046,,0.11627906976744186,0.4883720930232558
0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,"Public Service, Law, and Policy",3,0.1346153846153846,0.25,0.1346153846153846,0.38461538461538464
0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,"Math, Sciences, and Engineering",4,0.18604651162790697,0.32558139534883723,0.20930232558139536,0.2558139534883721
1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,"Public Service, Law, and Policy",5,0.26666666666666666,,0.23333333333333334,0.36666666666666664
0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,Business and Communication,6,0.25806451612903225,0.41935483870967744,0.06451612903225806,0.25806451612903225
0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,"Public Service, Law, and Policy",7,0.17142857142857143,0.11428571428571428,0.22857142857142856,0.34285714285714286
0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,Social Sciences,8,0.1891891891891892,0.3783783783783784,0.2702702702702703,0.05405405405405406
0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,"Math, Sciences, and Engineering",9,0.15217391304347827,0.2826086956521739,0.08695652173913043,0.3695652173913043
0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,Business and Communication,10,0.22727272727272727,0.045454545454545456,0.18181818181818182,0.36363636363636365
0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,"Math, Sciences, and Engineering",11,0.08333333333333333,,0.16666666666666666,0.75
0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,Creative Arts,12,0.07142857142857142,0.023809523809523808,0.16666666666666666,0.6190476190476191
0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,Creative Arts,13,0.14285714285714285,,0.14285714285714285,0.5238095238095238
0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,"Public Service, Law, and Policy",14,0.25925925925925924,0.18518518518518517,0.2962962962962963,0.1111111111111111
1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,Business and Communication,15,0.3888888888888889,0.027777777777777776,0.3055555555555556,0.2777777777777778
1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,"Math, Sciences, and Engineering",16,0.2191780821917808,0.1917808219178082,0.136986301369863,0.3835616438356164
1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,"Math, Sciences, and Engineering",17,0.2777777777777778,0.25,0.1111111111111111,0.25
1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,Business and Communication,18,0.43478260869565216,0.043478260869565216,0.391304347826087,0.08695652173913043
0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,"Math, Sciences, and Engineering",19,0.11764705882352941,0.14705882352941177,0.38235294117647056,0.3235294117647059
0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,Creative Arts,20,0.20689655172413793,0.4482758620689655,0.10344827586206896,0.06896551724137931
0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,Social Sciences,21,0.18604651162790697,0.09302325581395349,0.16279069767441862,0.5581395348837209
0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,"Public Service, Law, and Policy",22,0.1956521739130435,0.10869565217391304,0.1956521739130435,0.41304347826086957
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,Social Sciences,23,0.22857142857142856,0.18571428571428572,0.1,0.4142857142857143
0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,"Math, Sciences, and Engineering",24,0.11538461538461539,,0.15384615384615385,0.6923076923076923
0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,"Public Service, Law, and Policy",25,0.2,,0.32,0.32
1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,Business and Communication,26,0.325,0.225,0.125,0.3
0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,"Math, Sciences, and Engineering",27,0.13636363636363635,0.045454545454545456,0.36363636363636365,0.45454545454545453
1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,Business and Communication,28,0.358974358974359,0.10256410256410256,0.10256410256410256,0.3076923076923077
0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,"Public Service, Law, and Policy",29,0.11428571428571428,0.02857142857142857,0.22857142857142856,0.4857142857142857
0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,"Math, Sciences, and Engineering",30,0.1724137931034483,0.034482758620689655,0.20689655172413793,0.5862068965517241
1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,"Public Service, Law, and Policy",31,0.29545454545454547,,0.20454545454545456,0.4090909090909091
0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,"Math, Sciences, and Engineering",32,0.1388888888888889,0.2777777777777778,0.19444444444444445,0.25
